,t,v,throttle,brake
0,0.0,3.744427522178739e-05,0.81,0.0
1,0.01,3.1376090191770345e-05,0.81,0.0
2,0.02,2.641088212840259e-05,0.81,0.0
3,0.03,2.2039694158593196e-05,0.81,0.0
4,0.04,1.827706000767648e-05,0.81,0.0
5,0.05,1.4954450307413934e-05,0.81,0.0
6,0.06,1.2101265383535065e-05,0.81,0.0
7,0.07,9.736033462104388e-06,0.81,0.0
8,0.08,7.687131073907949e-06,0.81,0.0
9,0.09,5.775624231318942e-06,0.81,0.0
10,0.1,4.38771212429856e-06,0.81,0.0
11,0.11,0.0,0.81,0.0
12,0.12,0.045668140053749084,0.81,0.0
13,0.13,0.039956450462341316,0.81,0.0
14,0.14,0.04467497393488884,0.81,0.0
15,0.15,0.0423244833946228,0.81,0.0
16,0.16,0.04788732901215553,0.81,0.0
17,0.17,0.04688606038689613,0.81,0.0
18,0.18,0.05977330729365349,0.81,0.0
19,0.19,0.10755577683448793,0.81,0.0
20,0.2,0.12645451724529266,0.81,0.0
21,0.21,0.1596815437078476,0.81,0.0
22,0.22,0.19833241403102875,0.81,0.0
23,0.23,0.23662282526493075,0.81,0.0
24,0.24,0.2609531283378601,0.81,0.0
25,0.25,0.29641634225845337,0.81,0.0
26,0.26,0.32252830266952515,0.81,0.0
27,0.27,0.3517893850803375,0.81,0.0
28,0.28,0.3849072456359863,0.81,0.0
29,0.29,0.4173953533172608,0.81,0.0
30,0.3,0.4529270529747009,0.81,0.0
31,0.31,0.4846671223640442,0.81,0.0
32,0.32,0.5173104405403137,0.81,0.0
33,0.33,0.5865170955657959,0.81,0.0
34,0.34,0.6394442915916443,0.81,0.0
35,0.35,0.6860788464546204,0.81,0.0
36,0.36,0.7361434102058411,0.81,0.0
37,0.37,0.7842208743095398,0.81,0.0
38,0.38,0.8340574502944946,0.81,0.0
39,0.39,0.8841131925582886,0.81,0.0
40,0.4,0.934890627861023,0.81,0.0
41,0.41,0.984516441822052,0.81,0.0
42,0.42,1.0322480201721191,0.81,0.0
43,0.43,1.0784156322479248,0.81,0.0
44,0.44,1.1232558488845823,0.81,0.0
45,0.45,1.1669632196426392,0.81,0.0
46,0.46,1.2096980810165403,0.81,0.0
47,0.47,1.251592755317688,0.81,0.0
48,0.48,1.2927579879760742,0.81,0.0
49,0.49,1.3332864046096802,0.81,0.0
50,0.5,1.3732560873031616,0.81,0.0
51,0.51,1.4127336740493774,0.81,0.0
52,0.52,1.4517747163772583,0.81,0.0
53,0.53,1.490428447723389,0.81,0.0
54,0.54,1.528735637664795,0.81,0.0
55,0.55,1.5667318105697632,0.81,0.0
56,0.56,1.604448676109314,0.81,0.0
57,0.57,1.6419128179550169,0.81,0.0
58,0.58,1.679147720336914,0.81,0.0
59,0.59,1.716174840927124,0.81,0.0
60,0.6,1.7530121803283691,0.81,0.0
61,0.61,1.7896761894226074,0.81,0.0
62,0.62,1.826180338859558,0.81,0.0
63,0.63,1.86253821849823,0.81,0.0
64,0.64,1.8987613916397093,0.81,0.0
65,0.65,1.9348602294921875,0.81,0.0
66,0.66,1.970843315124512,0.81,0.0
67,0.67,2.00671935081482,0.81,0.0
68,0.68,2.0424957275390625,0.81,0.0
69,0.69,2.078179121017456,0.81,0.0
70,0.7,2.113775491714477,0.81,0.0
71,0.71,2.1492905616760254,0.81,0.0
72,0.72,2.184729814529419,0.81,0.0
73,0.73,2.220097541809082,0.81,0.0
74,0.74,2.255396604537964,0.81,0.0
75,0.75,2.290632963180542,0.81,0.0
76,0.76,2.3258090019226074,0.81,0.0
77,0.77,2.3609278202056885,0.81,0.0
78,0.78,2.3959922790527344,0.81,0.0
79,0.79,2.431005477905273,0.81,0.0
80,0.8,2.4659698009490967,0.81,0.0
81,0.81,2.500887155532837,0.81,0.0
82,0.82,2.535759687423706,0.81,0.0
83,0.83,2.570589303970337,0.81,0.0
84,0.84,2.605377674102783,0.81,0.0
85,0.85,2.640126943588257,0.81,0.0
86,0.86,2.674837589263916,0.81,0.0
87,0.87,2.70951247215271,0.81,0.0
88,0.88,2.74415135383606,0.81,0.0
89,0.89,2.7787556648254395,0.81,0.0
90,0.9,2.8133273124694824,0.81,0.0
91,0.91,2.847866535186768,0.81,0.0
92,0.92,2.882373809814453,0.81,0.0
93,0.93,2.916851043701172,0.81,0.0
94,0.94,2.95129942893982,0.81,0.0
95,0.95,2.985717296600342,0.81,0.0
96,0.96,3.020107746124268,0.81,0.0
97,0.97,3.0544710159301762,0.81,0.0
98,0.98,3.088806629180908,0.81,0.0
99,0.99,3.1231164932250977,0.81,0.0
100,1.0,3.157399177551269,0.81,0.0
101,1.01,3.191657066345215,0.81,0.0
102,1.02,3.2258882522583012,0.81,0.0
103,1.03,3.260087251663208,0.81,0.0
104,1.04,3.2942450046539307,0.81,0.0
105,1.05,3.328356504440308,0.81,0.0
106,1.06,3.362415313720703,0.81,0.0
107,1.07,3.3964157104492188,0.81,0.0
108,1.08,3.4303526878356934,0.81,0.0
109,1.09,3.464223146438598,0.81,0.0
110,1.1,3.498021125793457,0.81,0.0
111,1.11,3.53174376487732,0.81,0.0
112,1.12,3.5653882026672363,0.81,0.0
113,1.13,3.5989503860473637,0.81,0.0
114,1.14,3.6324284076690674,0.81,0.0
115,1.15,3.6658194065094,0.81,0.0
116,1.16,3.699120759963989,0.81,0.0
117,1.17,3.732331514358521,0.81,0.0
118,1.18,3.765447854995728,0.81,0.0
119,1.19,3.798470258712769,0.81,0.0
120,1.2,3.8313958644866943,0.81,0.0
121,1.21,3.864222288131714,0.81,0.0
122,1.22,3.896950483322144,0.81,0.0
123,1.23,3.929577827453613,0.81,0.0
124,1.24,3.962103843688965,0.81,0.0
125,1.25,3.9945263862609854,0.81,0.0
126,1.26,4.026845455169679,0.81,0.0
127,1.27,4.059061050415038,0.81,0.0
128,1.28,4.0911712646484375,0.81,0.0
129,1.29,4.123175144195557,0.81,0.0
130,1.3,4.155073642730713,0.81,0.0
131,1.31,4.186865329742432,0.81,0.0
132,1.32,4.218549728393556,0.81,0.0
133,1.33,4.250126361846924,0.81,0.0
134,1.34,4.281595706939696,0.81,0.0
135,1.35,4.312956809997559,0.81,0.0
136,1.36,4.344209671020509,0.81,0.0
137,1.37,4.375353813171387,0.81,0.0
138,1.38,4.406388282775879,0.81,0.0
139,1.39,4.437314510345459,0.81,0.0
140,1.4,4.468132019042969,0.81,0.0
141,1.41,4.498838901519775,0.81,0.0
142,1.42,4.529438018798828,0.81,0.0
143,1.43,4.5599284172058105,0.81,0.0
144,1.44,4.59030818939209,0.81,0.0
145,1.45,4.620579719543457,0.81,0.0
146,1.46,4.650742053985597,0.81,0.0
147,1.47,4.680796146392822,0.81,0.0
148,1.48,4.710740566253662,0.81,0.0
149,1.49,4.74057674407959,0.81,0.0
150,1.5,4.770305156707764,0.81,0.0
151,1.51,4.7999234199523935,0.81,0.0
152,1.52,4.8294339179992685,0.81,0.0
153,1.53,4.858837127685547,0.81,0.0
154,1.54,4.888131141662598,0.81,0.0
155,1.55,4.917317867279053,0.81,0.0
156,1.56,4.946396350860597,0.81,0.0
157,1.57,4.9753684997558585,0.81,0.0
158,1.58,5.004233360290527,0.81,0.0
159,1.59,5.033219337463379,0.81,0.0
160,1.6,5.061879634857178,0.81,0.0
161,1.61,5.0904502868652335,0.81,0.0
162,1.62,5.118911266326903,0.81,0.0
163,1.63,5.1472649574279785,0.81,0.0
164,1.64,5.1755099296569815,0.81,0.0
165,1.65,5.203649044036865,0.81,0.0
166,1.66,5.231681346893311,0.81,0.0
167,1.67,5.259607315063477,0.81,0.0
168,1.68,5.28742790222168,0.81,0.0
169,1.69,5.315142631530762,0.81,0.0
170,1.7,5.342753887176514,0.81,0.0
171,1.71,5.3702592849731445,0.81,0.0
172,1.72,5.397659778594972,0.81,0.0
173,1.73,5.424958229064941,0.81,0.0
174,1.74,5.452152729034424,0.81,0.0
175,1.75,5.479243755340576,0.81,0.0
176,1.76,5.506232261657715,0.81,0.0
177,1.77,5.533116340637207,0.81,0.0
178,1.78,5.559899806976318,0.81,0.0
179,1.79,5.586581230163574,0.81,0.0
180,1.8,5.613161087036133,0.81,0.0
181,1.81,5.639640331268311,0.81,0.0
182,1.82,5.666017532348633,0.81,0.0
183,1.83,5.692294597625732,0.81,0.0
184,1.84,5.718473434448242,0.81,0.0
185,1.85,5.7445502281188965,0.81,0.0
186,1.86,5.770527362823486,0.81,0.0
187,1.87,5.796407222747803,0.81,0.0
188,1.88,5.822187423706055,0.81,0.0
189,1.89,5.847870349884032,0.81,0.0
190,1.9,5.873453617095947,0.81,0.0
191,1.91,5.898940086364746,0.81,0.0
192,1.92,5.924327850341798,0.81,0.0
193,1.93,5.949620246887207,0.81,0.0
194,1.94,5.9748148918151855,0.81,0.0
195,1.95,5.9999146461486825,0.81,0.0
196,1.96,6.024917602539063,0.81,0.0
197,1.97,6.04982328414917,0.81,0.0
198,1.98,6.0746355056762695,0.81,0.0
199,1.99,6.09935188293457,0.81,0.0
200,2.0,6.123972415924072,0.81,0.0
201,2.01,6.148500919342041,0.81,0.0
202,2.02,6.172933101654053,0.81,0.0
203,2.03,6.197272777557372,0.81,0.0
204,2.04,6.221518516540527,0.81,0.0
205,2.05,6.245671272277832,0.81,0.0
206,2.06,6.26973295211792,0.81,0.0
207,2.07,6.293701171875,0.81,0.0
208,2.08,6.317577838897705,0.81,0.0
209,2.09,6.3413634300231925,0.81,0.0
210,2.1,6.36505651473999,0.81,0.0
211,2.11,6.3886590003967285,0.81,0.0
212,2.12,6.41217041015625,0.81,0.0
213,2.13,6.435591220855713,0.81,0.0
214,2.14,6.458921432495117,0.81,0.0
215,2.15,6.48216438293457,0.81,0.0
216,2.16,6.5053157806396475,0.81,0.0
217,2.17,6.528378963470459,0.81,0.0
218,2.18,6.5513529777526855,0.81,0.0
219,2.19,6.5742387771606445,0.81,0.0
220,2.2,6.59703540802002,0.81,0.0
221,2.21,6.619746685028076,0.81,0.0
222,2.22,6.642368793487549,0.81,0.0
223,2.23,6.664902687072754,0.81,0.0
224,2.24,6.687351703643799,0.81,0.0
225,2.25,6.7097129821777335,0.81,0.0
226,2.26,6.731990337371826,0.81,0.0
227,2.27,6.75417947769165,0.81,0.0
228,2.28,6.776283264160156,0.81,0.0
