,t,v,throttle,brake
0,0.0,1.9631048417068087e-05,0.725,0.0
1,0.01,1.6592592146480453e-05,0.725,0.0
2,0.02,1.4187774468155112e-05,0.725,0.0
3,0.03,1.2254934517841319e-05,0.725,0.0
4,0.04,1.0438001481816173e-05,0.725,0.0
5,0.05,8.742172212805599e-06,0.725,0.0
6,0.06,7.729368007858284e-06,0.725,0.0
7,0.07,6.5018361965485374e-06,0.725,0.0
8,0.08,5.229148428043119e-06,0.725,0.0
9,0.09,4.475575224205387e-06,0.725,0.0
10,0.1,3.701330570038408e-06,0.725,0.0
11,0.11,0.0,0.725,0.0
12,0.12,0.04394412413239479,0.725,0.0
13,0.13,0.03710777685046196,0.725,0.0
14,0.14,0.0420951172709465,0.725,0.0
15,0.15,0.04037042707204819,0.725,0.0
16,0.16,0.04539169743657112,0.725,0.0
17,0.17,0.04348621889948845,0.725,0.0
18,0.18,0.04996564611792565,0.725,0.0
19,0.19,0.050351638346910484,0.725,0.0
20,0.2,0.07750436663627625,0.725,0.0
21,0.21,0.09656446427106856,0.725,0.0
22,0.22,0.1197548359632492,0.725,0.0
23,0.23,0.14979106187820435,0.725,0.0
24,0.24,0.18050405383110046,0.725,0.0
25,0.25,0.2136647701263428,0.725,0.0
26,0.26,0.2523976266384125,0.725,0.0
27,0.27,0.3070472180843353,0.725,0.0
28,0.28,0.3432236909866333,0.725,0.0
29,0.29,0.3658202588558197,0.725,0.0
30,0.3,0.3892055153846741,0.725,0.0
31,0.31,0.4259556233882904,0.725,0.0
32,0.32,0.4532324969768524,0.725,0.0
33,0.33,0.5006154775619507,0.725,0.0
34,0.34,0.5399568080902101,0.725,0.0
35,0.35,0.584387481212616,0.725,0.0
36,0.36,0.62786465883255,0.725,0.0
37,0.37,0.6620218753814697,0.725,0.0
38,0.38,0.7092949748039246,0.725,0.0
39,0.39,0.7465564608573914,0.725,0.0
40,0.4,0.7892499566078186,0.725,0.0
41,0.41,0.8287315964698792,0.725,0.0
42,0.42,0.8705945611000061,0.725,0.0
43,0.43,0.91199791431427,0.725,0.0
44,0.44,0.9540132880210876,0.725,0.0
45,0.45,0.9967780709266664,0.725,0.0
46,0.46,1.0394450426101685,0.725,0.0
47,0.47,1.0805013179779053,0.725,0.0
48,0.48,1.120203137397766,0.725,0.0
49,0.49,1.158746361732483,0.725,0.0
50,0.5,1.1962931156158447,0.725,0.0
51,0.51,1.2329776287078855,0.725,0.0
52,0.52,1.2689120769500732,0.725,0.0
53,0.53,1.3041905164718628,0.725,0.0
54,0.54,1.3388912677764893,0.725,0.0
55,0.55,1.373080849647522,0.725,0.0
56,0.56,1.4068163633346558,0.725,0.0
57,0.57,1.4401451349258425,0.725,0.0
58,0.58,1.4731093645095823,0.725,0.0
59,0.59,1.5057445764541626,0.725,0.0
60,0.6,1.5380821228027344,0.725,0.0
61,0.61,1.570148229598999,0.725,0.0
62,0.62,1.6019669771194458,0.725,0.0
63,0.63,1.6335585117340088,0.725,0.0
64,0.64,1.6649407148361206,0.725,0.0
65,0.65,1.696129560470581,0.725,0.0
66,0.66,1.727139592170715,0.725,0.0
67,0.67,1.757982611656189,0.725,0.0
68,0.68,1.7886701822280884,0.725,0.0
69,0.69,1.819212317466736,0.725,0.0
70,0.7,1.8496181964874268,0.725,0.0
71,0.71,1.8798953294754028,0.725,0.0
72,0.72,1.9100513458251955,0.725,0.0
73,0.73,1.940092921257019,0.725,0.0
74,0.74,1.9700251817703247,0.725,0.0
75,0.75,1.9998539686203003,0.725,0.0
76,0.76,2.02958345413208,0.725,0.0
77,0.77,2.0592191219329834,0.725,0.0
78,0.78,2.088763952255249,0.725,0.0
79,0.79,2.1182217597961426,0.725,0.0
80,0.8,2.1475961208343506,0.725,0.0
81,0.81,2.17689061164856,0.725,0.0
82,0.82,2.206106662750244,0.725,0.0
83,0.83,2.235247850418091,0.725,0.0
84,0.84,2.2643163204193115,0.725,0.0
85,0.85,2.293313503265381,0.725,0.0
86,0.86,2.3222415447235107,0.725,0.0
87,0.87,2.3511030673980717,0.725,0.0
88,0.88,2.3798985481262207,0.725,0.0
89,0.89,2.40863037109375,0.725,0.0
90,0.9,2.4372987747192383,0.725,0.0
91,0.91,2.465906858444214,0.725,0.0
92,0.92,2.4944543838500977,0.725,0.0
93,0.93,2.522942543029785,0.725,0.0
94,0.94,2.55137300491333,0.725,0.0
95,0.95,2.579746723175049,0.725,0.0
96,0.96,2.6080636978149414,0.725,0.0
97,0.97,2.6363253593444824,0.725,0.0
98,0.98,2.66453218460083,0.725,0.0
99,0.99,2.6926848888397217,0.725,0.0
100,1.0,2.7207839488983154,0.725,0.0
101,1.01,2.748830556869507,0.725,0.0
102,1.02,2.7768259048461914,0.725,0.0
103,1.03,2.8047685623168945,0.725,0.0
104,1.04,2.8326599597930913,0.725,0.0
105,1.05,2.86050033569336,0.725,0.0
106,1.06,2.888290882110596,0.725,0.0
107,1.07,2.9160313606262207,0.725,0.0
108,1.08,2.9437215328216557,0.725,0.0
109,1.09,2.9713628292083736,0.725,0.0
110,1.1,2.998955726623535,0.725,0.0
111,1.11,3.0264995098114014,0.725,0.0
112,1.12,3.053994417190552,0.725,0.0
113,1.13,3.08144211769104,0.725,0.0
114,1.14,3.108841180801392,0.725,0.0
115,1.15,3.136192798614502,0.725,0.0
116,1.16,3.16349720954895,0.725,0.0
117,1.17,3.1907544136047363,0.725,0.0
118,1.18,3.2179644107818604,0.725,0.0
119,1.19,3.2451276779174805,0.725,0.0
120,1.2,3.2722439765930176,0.725,0.0
121,1.21,3.299314260482788,0.725,0.0
122,1.22,3.326338529586792,0.725,0.0
123,1.23,3.3533167839050293,0.725,0.0
124,1.24,3.3802492618560787,0.725,0.0
125,1.25,3.4071295261383057,0.725,0.0
126,1.26,3.433952808380127,0.725,0.0
127,1.27,3.4607157707214355,0.725,0.0
128,1.28,3.487413167953491,0.725,0.0
129,1.29,3.5140414237976074,0.725,0.0
130,1.3,3.5405962467193604,0.725,0.0
131,1.31,3.5670757293701167,0.725,0.0
132,1.32,3.5934762954711914,0.725,0.0
133,1.33,3.6197936534881587,0.725,0.0
134,1.34,3.6460280418396,0.725,0.0
135,1.35,3.672175884246826,0.725,0.0
136,1.36,3.698235273361206,0.725,0.0
137,1.37,3.7242040634155273,0.725,0.0
138,1.38,3.7500813007354736,0.725,0.0
139,1.39,3.775865793228149,0.725,0.0
140,1.4,3.8015546798706055,0.725,0.0
141,1.41,3.827148914337158,0.725,0.0
142,1.42,3.8526461124420166,0.725,0.0
143,1.43,3.8780457973480233,0.725,0.0
144,1.44,3.9033474922180176,0.725,0.0
145,1.45,3.9285478591918954,0.725,0.0
146,1.46,3.953649520874024,0.725,0.0
147,1.47,3.978650093078613,0.725,0.0
148,1.48,4.003549575805663,0.725,0.0
149,1.49,4.0283474922180185,0.725,0.0
150,1.5,4.0530428886413565,0.725,0.0
151,1.51,4.077636241912842,0.725,0.0
152,1.52,4.102126598358153,0.725,0.0
153,1.53,4.126514434814453,0.725,0.0
154,1.54,4.150798797607422,0.725,0.0
155,1.55,4.174980640411377,0.725,0.0
156,1.56,4.19905948638916,0.725,0.0
157,1.57,4.223034381866455,0.725,0.0
158,1.58,4.246906280517578,0.725,0.0
159,1.59,4.270674228668213,0.725,0.0
160,1.6,4.294339656829834,0.725,0.0
161,1.61,4.317901611328125,0.725,0.0
162,1.62,4.341360092163087,0.725,0.0
163,1.63,4.364715099334717,0.725,0.0
164,1.64,4.387967586517334,0.725,0.0
165,1.65,4.411117076873778,0.725,0.0
166,1.66,4.434163570404053,0.725,0.0
167,1.67,4.457108020782472,0.725,0.0
168,1.68,4.479949951171875,0.725,0.0
169,1.69,4.50269079208374,0.725,0.0
