,t,v,throttle,brake
0,0.0,0.0,0.0012499999999999734,0.0
1,0.01,0.0,0.0024999999999999467,0.0
2,0.02,0.0,0.003750000000000031,0.0
3,0.03,0.0,0.0050000000000000044,0.0
4,0.04,0.0,0.006249999999999978,0.0
5,0.05,0.0,0.007499999999999951,0.0
6,0.06,0.0,0.008750000000000036,0.0
7,0.07,0.0,0.010000000000000007,0.0
8,0.08,0.0,0.01124999999999998,0.0
9,0.09,0.0,0.012499999999999956,0.0
10,0.1,0.0,0.01375000000000004,0.0
11,0.11,0.0,0.015000000000000013,0.0
12,0.12,0.0,0.016249999999999987,0.0
13,0.13,0.0,0.01749999999999996,0.0
14,0.14,0.0,0.018750000000000044,0.0
15,0.15,1.5446648831130005e-05,0.020000000000000014,0.0
16,0.16,2.7994577976642177e-05,0.02124999999999999,0.0
17,0.17,3.848593769362196e-05,0.02249999999999996,0.0
18,0.18,0.018013535067439083,0.02375000000000005,0.0
19,0.19,0.0,0.025000000000000026,0.0
20,0.2,0.011486149393022059,0.02625,0.0
21,0.21,0.007054814603179694,0.02749999999999997,0.0
22,0.22,0.011605268344283104,0.02875000000000005,0.0
23,0.23,0.007619805634021759,0.030000000000000027,0.0
24,0.24,0.012653142213821413,0.03125,0.0
25,0.25,0.009278741665184498,0.032499999999999966,0.0
26,0.26,0.014959790743887424,0.03374999999999995,0.0
27,0.27,0.01233059260994196,0.03500000000000003,0.0
28,0.28,0.018877044320106503,0.03625,0.0
29,0.29,0.01710239239037037,0.03749999999999998,0.0
30,0.3,0.022589737549424168,0.03874999999999995,0.0
31,0.31,0.0021985371131449933,0.040000000000000036,0.0
32,0.32,0.0011457175714895131,0.041250000000000016,0.0
33,0.33,0.0009616505121812224,0.04249999999999998,0.0
34,0.34,0.0008291449048556387,0.04374999999999996,0.0
35,0.35,0.0007150263991206883,0.04500000000000004,0.0
36,0.36,0.0006154209841042758,0.04625000000000001,0.0
37,0.37,0.0005284678190946579,0.04749999999999999,0.0
38,0.38,0.000453562883194536,0.04874999999999996,0.0
39,0.39,0.0003882200107909739,0.05000000000000005,0.0
40,0.4,0.00033095027902163565,0.05125000000000002,0.0
41,0.41,0.0002817187341861427,0.052499999999999984,0.0
42,0.42,0.0002389837900409475,0.05374999999999997,0.0
43,0.43,0.0002015115896938369,0.05500000000000005,0.0
44,0.44,0.00016950510325841606,0.05625000000000002,0.0
45,0.45,0.00014169575297273695,0.0575,0.0
46,0.46,0.00011787320545408877,0.058749999999999976,0.0
47,0.47,9.669852443039416e-05,0.06000000000000005,0.0
48,0.48,7.883358921390027e-05,0.06125000000000003,0.0
49,0.49,6.348265014821662e-05,0.0625,0.0
50,0.5,5.0172027840744704e-05,0.06374999999999997,0.0
51,0.51,3.915432171197608e-05,0.06499999999999995,0.0
52,0.52,2.9225247999420393e-05,0.06625000000000003,0.0
53,0.53,2.0971439880668186e-05,0.0675,0.0
54,0.54,1.407828585797688e-05,0.06874999999999998,0.0
55,0.55,8.229412742366549e-06,0.06999999999999995,0.0
56,0.56,3.0788885396759724e-06,0.07125000000000004,0.0
57,0.57,0.0,0.07250000000000001,0.0
58,0.58,0.0,0.07374999999999997,0.0
59,0.59,0.0,0.07499999999999996,0.0
60,0.6,0.0,0.07625000000000004,0.0
61,0.61,0.0,0.07750000000000001,0.0
62,0.62,0.0,0.07874999999999999,0.0
63,0.63,0.037686686962842934,0.07999999999999996,0.0
64,0.64,0.0,0.08125000000000004,0.0
65,0.65,0.002467990620061755,0.08250000000000003,0.0
66,0.66,0.0,0.08374999999999999,0.0
67,0.67,0.004626665730029345,0.08499999999999996,0.0
68,0.68,0.0011105065932497382,0.08625000000000005,0.0
69,0.69,0.0065314131788909435,0.08750000000000002,0.0
70,0.7,0.0029283594340085983,0.08875,0.0
71,0.71,0.008255412802100182,0.08999999999999997,0.0
72,0.72,0.004583174362778664,0.09125000000000004,0.0
73,0.73,0.009838429279625416,0.09250000000000004,0.0
74,0.74,0.006107219494879246,0.09375,0.0
75,0.75,0.011302488856017591,0.09499999999999996,0.0
76,0.76,0.007526277564466,0.09624999999999996,0.0
77,0.77,0.012675046920776369,0.09750000000000003,0.0
78,0.78,0.008863138034939766,0.09875,0.0
79,0.79,0.013971779495477676,0.09999999999999998,0.0
80,0.8,0.010131601244211195,0.10124999999999997,0.0
81,0.81,0.015209445729851724,0.10250000000000004,0.0
82,0.82,0.01134596671909094,0.10375,0.0
83,0.83,0.016396600753068924,0.10499999999999997,0.0
84,0.84,0.01251539308577776,0.10624999999999996,0.0
85,0.85,0.01754574663937092,0.10750000000000004,0.0
86,0.86,0.013651466928422451,0.10875,0.0
87,0.87,0.01866325177252293,0.11,0.0
88,0.88,0.01475695427507162,0.11124999999999996,0.0
89,0.89,0.019754357635974884,0.11250000000000004,0.0
90,0.9,0.01583961397409439,0.11375000000000003,0.0
91,0.91,0.020825350657105446,0.115,0.0
92,0.92,0.016904165968298912,0.11624999999999995,0.0
93,0.93,0.021881241351366043,0.11750000000000005,0.0
94,0.94,0.017956465482711792,0.11875000000000002,0.0
95,0.95,0.02292774431407452,0.12,0.0
96,0.96,0.01900012046098709,0.12124999999999996,0.0
97,0.97,0.023965068161487583,0.12250000000000005,0.0
98,0.98,0.020036892965435985,0.12375000000000005,0.0
99,0.99,0.02499957196414471,0.125,0.0
100,1.0,0.021072186529636383,0.12624999999999995,0.0
101,1.01,0.02603131905198097,0.12749999999999995,0.0
102,1.02,0.022105013951659203,0.12875000000000006,0.0
103,1.03,0.027063244953751564,0.13,0.0
104,1.04,0.02313949540257454,0.13124999999999998,0.0
105,1.05,0.028098909184336662,0.13249999999999995,0.0
106,1.06,0.02417841926217079,0.13375000000000006,0.0
107,1.07,0.029138524085283283,0.135,0.0
108,1.08,0.025221291929483414,0.13624999999999998,0.0
109,1.09,0.030181460082530975,0.13749999999999996,0.0
110,1.1,0.026268694549798962,0.13875000000000004,0.0
111,1.11,0.031234363093972206,0.14,0.0
112,1.12,0.027327515184879303,0.14125,0.0
113,1.13,0.032296016812324524,0.14249999999999996,0.0
114,1.14,0.028395142406225208,0.14375000000000004,0.0
115,1.15,0.03336672857403755,0.14500000000000002,0.0
116,1.16,0.029471928253769875,0.14625,0.0
117,1.17,0.03444841131567955,0.14749999999999994,0.0
118,1.18,0.0305605661123991,0.14875000000000005,0.0
119,1.19,0.03554244339466095,0.15000000000000002,0.0
120,1.2,0.03166220709681511,0.15125,0.0
121,1.21,0.0366496779024601,0.15249999999999994,0.0
122,1.22,0.03277786821126938,0.15375000000000005,0.0
123,1.23,0.03777142614126205,0.15500000000000005,0.0
124,1.24,0.033909015357494354,0.15625,0.0
125,1.25,0.038906529545784,0.15749999999999995,0.0
126,1.26,0.0350525975227356,0.15874999999999995,0.0
127,1.27,0.040057700127363205,0.16000000000000006,0.0
128,1.28,0.03621452674269676,0.16125,0.0
129,1.29,0.04122663289308548,0.16249999999999998,0.0
130,1.3,0.03739296272397041,0.16374999999999995,0.0
131,1.31,0.04241136461496353,0.16500000000000006,0.0
132,1.32,0.03858847543597221,0.16625,0.0
133,1.33,0.043613776564598083,0.16749999999999998,0.0
134,1.34,0.0398026779294014,0.16874999999999996,0.0
135,1.35,0.04483608156442642,0.17000000000000004,0.0
136,1.36,0.04103589057922363,0.17125,0.0
137,1.37,0.04607676714658737,0.1725,0.0
138,1.38,0.04228992387652397,0.17374999999999996,0.0
139,1.39,0.047338102012872696,0.17500000000000004,0.0
140,1.4,0.0435660295188427,0.17625000000000002,0.0
141,1.41,0.04862170666456223,0.1775,0.0
142,1.42,0.04486335813999176,0.17874999999999994,0.0
143,1.43,0.049927342683076865,0.18000000000000005,0.0
144,1.44,0.04618209227919578,0.18125,0.0
145,1.45,0.05125458911061287,0.1825,0.0
146,1.46,0.04752720892429352,0.18375,0.0
147,1.47,0.05260817706584929,0.18500000000000005,0.0
148,1.48,0.0489005371928215,0.18625000000000005,0.0
149,1.49,0.05398954823613167,0.1875,0.0
150,1.5,0.05030010268092156,0.18875,0.0
151,1.51,0.05539767444133759,0.18999999999999995,0.0
152,1.52,0.051727108657360084,0.19125000000000006,0.0
153,1.53,0.0568336620926857,0.1925,0.0
154,1.54,0.05318589508533478,0.19375,0.0
155,1.55,0.058303631842136376,0.19499999999999995,0.0
156,1.56,0.05468174442648888,0.19625000000000006,0.0
157,1.57,0.059808917343616486,0.1975,0.0
158,1.58,0.0562136247754097,0.19875,0.0
159,1.59,0.06135107949376106,0.2,0.0
160,1.6,0.05778646469116211,0.20125000000000004,0.0
161,1.61,0.06293674558401108,0.2025,0.0
162,1.62,0.0594075582921505,0.20375,0.0
163,1.63,0.06457144767045975,0.205,0.0
164,1.64,0.061083998531103134,0.20625000000000004,0.0
165,1.65,0.06626231968402863,0.2075,0.0
166,1.66,0.06282529979944229,0.20875,0.0
167,1.67,0.06823471188545227,0.21,0.0
168,1.68,0.06616075336933136,0.21125000000000005,0.0
169,1.69,0.0748065933585167,0.2125,0.0
170,1.7,0.0865480974316597,0.21375,0.0
171,1.71,0.11319239437580107,0.215,0.0
172,1.72,0.11890797317028046,0.21625000000000005,0.0
173,1.73,0.1336468905210495,0.21750000000000005,0.0
174,1.74,0.16312940418720245,0.21875,0.0
175,1.75,0.1772177815437317,0.22,0.0
176,1.76,0.17521095275878906,0.22124999999999995,0.0
177,1.77,0.20008717477321625,0.22250000000000006,0.0
178,1.78,0.1988672912120819,0.22375,0.0
179,1.79,0.2312963306903839,0.225,0.0
180,1.8,0.2340308576822281,0.22624999999999995,0.0
181,1.81,0.24148841202259064,0.22750000000000006,0.0
182,1.82,0.23711301386356354,0.22875,0.0
183,1.83,0.25426679849624634,0.23,0.0
184,1.84,0.2335482984781265,0.23125,0.0
185,1.85,0.2524011731147766,0.23250000000000004,0.0
186,1.86,0.23166270554065704,0.23375,0.0
187,1.87,0.2560183107852936,0.235,0.0
188,1.88,0.2370247542858124,0.23625,0.0
189,1.89,0.2722303569316864,0.23750000000000004,0.0
190,1.9,0.2872788608074188,0.23875,0.0
191,1.91,0.2775423526763916,0.24,0.0
192,1.92,0.3082118630409241,0.24125,0.0
193,1.93,0.31509536504745483,0.24250000000000005,0.0
194,1.94,0.3326658606529236,0.24375,0.0
195,1.95,0.32720810174942017,0.245,0.0
196,1.96,0.3255539536476135,0.24625,0.0
197,1.97,0.3208087980747223,0.24750000000000005,0.0
198,1.98,0.3192474544048309,0.24875000000000005,0.0
199,1.99,0.3224821388721466,0.25,0.0
200,2.0,0.3242163062095642,0.25125,0.0
201,2.01,0.3220167458057404,0.25249999999999995,0.0
202,2.02,0.32399070262908936,0.25375000000000003,0.0
203,2.03,0.3311341106891632,0.255,0.0
204,2.04,0.34214362502098083,0.25625,0.0
205,2.05,0.33777087926864624,0.25749999999999995,0.0
206,2.06,0.3602825403213501,0.25875000000000004,0.0
